utc,local,value,unit,parameter,sensorsId,locationsId,lat,lon,provider,owner,flag
2025-10-02 10:00:00+00:00,2025-10-02T12:00:00+02:00,1.13077,,no2,15479,5577,36.067050000123075,14.197073999690769,,,
2025-10-02 10:00:00+00:00,2025-10-02T11:00:00+01:00,10.0,,no2,25421,7173,38.07694400005979,-8.798610999927275,,,
2025-10-02 10:00:00+00:00,2025-10-02T13:00:00+03:00,-1.0,,no2,28644,9385,47.127374999964395,24.495493999912973,,,
2025-10-02 10:00:00+00:00,2025-10-02T13:00:00+03:00,18.6435452,,no2,8434287,2577404,44.62663300021146,22.661981000118214,,,
2025-10-02 10:00:00+00:00,2025-10-02T12:00:00+02:00,17.0,,no2,7205,3302,38.96666665978667,-0.190000000442672,,,
2025-10-02 10:00:00+00:00,2025-10-02T12:00:00+02:00,17.0,,no2,23541,8119,45.53636000005417,11.293280999951929,,,
2025-10-02 10:00:00+00:00,2025-10-02T12:00:00+02:00,9.814855,,no2,12039,4456,50.98775800002747,12.43762100000246,,,
2025-10-02 10:00:00+00:00,2025-10-02T13:00:00+03:00,2.603,,no2,1606340,282705,56.162350999992654,21.173330999843387,,,
2025-10-02 10:00:00+00:00,2025-10-02T13:00:00+03:00,52.0,,no2,9437126,2162797,38.06779299986957,23.788985999925316,,,
2025-10-02 09:00:00+00:00,2025-10-02T11:00:00+02:00,59.2,,no2,9810,4136,49.50018700022254,0.11090300011277074,,,
2025-10-02 10:00:00+00:00,2025-10-02T13:00:00+03:00,26.73,,no2,25783,8844,42.669796999685126,23.26840299970644,,,
2025-10-02 10:00:00+00:00,2025-10-02T12:00:00+02:00,11.758,,no2,9440296,2876224,48.6775199997656,9.22940300012656,,,
2025-10-02 10:00:00+00:00,2025-10-02T12:00:00+02:00,3.7,,no2,9440297,2876225,53.30740000010482,11.373299999648415,,,
2025-10-02 10:00:00+00:00,2025-10-02T12:00:00+02:00,1.51,,no2,9440299,2876223,47.541079999763326,10.436549999653796,,,
2025-10-02 10:00:00+00:00,2025-10-02T12:00:00+02:00,4.094689,,no2,9440301,2876226,48.141249999538644,16.300082999567955,,,
2025-10-02 10:00:00+00:00,2025-10-02T12:00:00+02:00,-1.0,,no2,9445107,2876867,48.196789999276696,16.339839999608667,,,
2025-10-02 10:00:00+00:00,2025-10-02T12:00:00+02:00,12.532,,no2,6883,3195,51.536893000060374,7.457408999845711,,,
2025-10-02 09:00:00+00:00,2025-10-02T10:00:00+01:00,4.8,,no2,23976,7882,39.27833300021285,-9.245555999814092,,,
2025-10-02 10:00:00+00:00,2025-10-02T13:00:00+03:00,43.29,,no2,9482432,2162111,42.610334999673164,23.03219100023879,,,
2025-10-02 10:00:00+00:00,2025-10-02T12:00:00+02:00,20.0,,no2,9948,4181,37.219250000344246,-6.888580000101254,,,
2025-10-02 10:00:00+00:00,2025-10-02T12:00:00+02:00,12.5,,no2,12491,4908,50.79529862778533,4.252628452811833,,,
2025-10-02 10:00:00+00:00,2025-10-02T12:00:00+02:00,24.577,,no2,6840,3177,51.527901000069754,7.084555000027486,,,
